case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
3038427,IL,Bishop Hill I,2012.0,49,79.38,-90.240997,41.186192
3038633,ND,Pembina Border Station,2012.0,1,1.0,-97.241592,48.996891
3038704,KS,Cimarron I,2012.0,72,165.6,-100.307991,37.848194
3038938,IL,Shady Oaks,2012.0,3,7.5,-89.125496,41.705193
3039074,IA,Pioneer Grove,2012.0,1,3.0,-91.23419200000001,41.850891
3039140,IA,Franklin County,2012.0,60,99.0,-93.254791,42.572594
3039206,OH,Cooper Farms,2012.0,2,3.0,-84.558998,40.914592999999996
3039209,MD,Roth Rock,2011.0,20,50.0,-79.4674,39.254791
3039249,IL,California Ridge,2012.0,134,217.08,-87.86299100000001,40.177094
3039262,IA,Story City Wind,2011.0,1,1.5,-93.598991,42.207893
3039277,MA,AFCEE MMR Turbines,2011.0,2,3.0,-70.545303,41.757591
3039292,MA,Kingston,2012.0,1,2.0,-70.715897,41.978790000000004
3039300,RI,Field's Point Wastewater Treatment Facilit,2012.0,3,4.5,-71.389801,41.792789
3039306,OH,Haviland Wind Project,2012.0,1,1.5,-84.587593,41.015991
3039762,TX,Los Vientos I,2012.0,87,200.1,-97.563194,26.291696999999996
3039763,TX,Los Vientos II,2012.0,84,201.6,-97.747093,26.358995
3039865,CA,Nestle Waters,2012.0,2,3.0,-116.74848899999999,33.916393
3039874,OK,Rocky Ridge I,2012.0,93,148.8,-99.00099200000001,35.068695
3039886,TX,Magic Valley,2012.0,112,203.28,-97.70179,26.476596999999998
3039887,CO,Busch Ranch,2012.0,16,28.8,-104.455887,37.772896
3039927,OK,Minco II,2011.0,63,100.8,-98.09229300000001,35.367492999999996
3039988,WA,Palouse,2012.0,58,104.4,-117.35878799999999,47.170494
3040005,CA,Montezuma Winds II,2012.0,34,78.2,-121.82038899999999,38.138096000000004
3040009,CA,Robertsons Ready Mix,2012.0,2,3.2,-116.81138600000001,33.914597
3040039,CA,Palm Springs (repower),2011.0,33,49.5,-116.56829099999999,33.922096
3040045,NV,Spring Valley,2012.0,66,151.8,-114.47858400000001,39.074696
3040064,ID,High Mesa,2012.0,19,39.9,-115.03818500000001,42.901196
3040068,CA,Pacific Wind,2012.0,70,143.5,-118.424484,34.923096
3040085,CA,Anheuser-Busch Fairfield,2011.0,1,1.5,-122.08928700000001,38.232296000000005
3040110,NM,Wildcat Wind Project,2012.0,13,27.3,-103.28519399999999,32.952896
3040121,CO,Limon I,2012.0,125,200.0,-103.789291,39.376293
3040412,CA,Cemex Madison,2012.0,1,1.5,-121.93518799999998,38.687595
3040429,OK,Blackwell,2012.0,26,59.8,-97.460495,36.862995
3040488,OK,Minco III,2012.0,63,100.8,-98.190392,35.400795
3040605,CA,Walmart Red Bluff,2012.0,1,1.5,-122.193886,40.111195
3040606,ID,Rockland,2011.0,44,79.2,-112.97918700000001,42.667496
3040650,TX,Majestic II,2012.0,20,30.0,-101.603088,35.397896
3040788,AK,Eva Creek,2012.0,12,24.6,-148.944778,64.069
3040893,HI,Kahuku,2011.0,12,30.0,-157.983994,21.681997
3041009,CA,Shiloh III,2011.0,46,94.3,-121.860786,38.181995
3041123,CA,Safeway Tracy,2011.0,2,2.0,-121.52188899999999,37.714294
3041126,TX,Baffin,2015.0,101,202.0,-97.497261,27.197195
3041133,CA,Wagner,2012.0,2,6.0,-116.55558799999999,33.908894000000004
3041138,MT,Gordon Butte,2012.0,6,9.0,-110.33168799999999,46.417491999999996
3041257,AK,Quinhagak,2010.0,3,0.3,-161.91308600000002,59.740299
3041263,CO,Wray School District,2008.0,1,0.9,-102.22328900000001,40.050995
3041265,AK,Kotzebue Wind Project,2012.0,2,1.8,-162.563126,66.83665500000001
3041366,HI,Auwahi Wind,2012.0,8,24.0,-156.31858799999998,20.603098000000003
3041438,TX,Suzlon Project VII,2011.0,1,2.1,-102.270988,35.749596000000004
3041444,AK,Pillar Mountain II,2012.0,3,4.5,-152.460083,57.783501
3041454,CA,Pinyon Pines I,2012.0,56,168.0,-118.23588600000001,35.045795
3041474,ID,Horse Butte,2012.0,32,57.6,-111.743385,43.386295000000004
3041669,IL,Grand Ridge III/IV,2009.0,40,60.0,-88.725594,41.173893
3041675,IA,Pocahontas Prairie,2012.0,40,80.0,-94.68249499999999,42.578392
3041676,KS,Caney River,2011.0,111,199.8,-96.418289,37.427494
3041687,IA,Morning Light,2012.0,44,101.2,-94.619392,41.485794
3041739,NY,Steel Winds II,2012.0,6,15.0,-78.8591,42.801891
3041743,MI,Minden Wind Park,2012.0,20,32.0,-82.797699,43.622593
3041760,IA,Vienna,2012.0,45,105.75,-92.694092,42.152190999999995
3041772,IA,Vienna II,2013.0,19,44.65,-92.82069399999999,42.14389
3041799,MA,Scituate Wind,2012.0,1,1.5,-70.7285,42.175090999999995
3041824,PA,Patton Wind Farm,2012.0,15,30.0,-78.69609799999999,40.630691999999996
3041850,ND,Lake Region State College Wind Turbine,2013.0,1,1.6,-98.888092,48.166393
3041851,RI,Block Island,2016.0,5,30.0,-71.507561,41.125713
3041966,RI,North Kingstown Green,2012.0,1,1.5,-71.4869,41.581593
3042037,WI,Cashton Greens,2012.0,2,5.0,-90.80439,43.739094
3042039,MI,Beebe Community Wind,2012.0,34,81.6,-84.493996,43.273193
3042041,MI,Beebe 1B,2014.0,21,50.4,-84.536713,43.295821999999994
3042077,MA,University of Massachussetts Dartmouth,2012.0,1,0.6,-71.010597,41.62669
3042078,PA,Twin Ridges,2012.0,23,47.15,-78.92319499999999,39.726890999999995
3042168,WI,SC Johnson Waxdale Plant,2012.0,2,3.0,-87.888039,42.713242
3042169,IA,Carroll Area,2015.0,9,20.0,-94.89489,41.932171000000004
3042230,MI,Echo,2014.0,70,112.0,-83.193794,43.928593
