,Year,Cents per KwH,CPI Value,Real Price,State
6,2012,7.71,229.6,5.95,IA
7,2011,7.56,224.9,5.95,IA
8,2010,7.66,218.1,6.22,IA
9,2009,7.37,214.5,6.08,IA
10,2008,6.89,215.3,5.67,IA
11,2007,6.83,207.3,5.83,IA
12,2006,7.01,201.6,6.16,IA
13,2005,6.69,195.3,6.07,IA
14,2004,6.4,188.9,6.0,IA
15,2003,6.11,184.0,5.88,IA
16,2002,6.01,179.9,5.92,IA
17,2001,6.14,177.1,6.14,IA
0,2018,10.57,250.5,7.47,KS
1,2017,10.6,245.1,7.66,KS
2,2016,10.49,240.0,7.74,KS
3,2015,10.14,237.0,7.58,KS
4,2014,10.16,236.7,7.6,KS
5,2013,9.72,233.0,7.39,KS
6,2012,9.33,229.6,7.2,KS
7,2011,8.89,224.9,7.0,KS
8,2010,8.35,218.1,6.78,KS
9,2009,7.98,214.5,6.59,KS
10,2008,7.45,215.3,6.13,KS
11,2007,6.84,207.3,5.84,KS
12,2006,6.89,201.6,6.05,KS
13,2005,6.55,195.3,5.94,KS
14,2004,6.37,188.9,5.97,KS
15,2003,6.35,184.0,6.11,KS
16,2002,6.31,179.9,6.21,KS
17,2001,6.24,177.1,6.24,KS
0,2018,8.44,250.5,5.97,KY
1,2017,8.57,245.1,6.19,KY
2,2016,8.42,240.0,6.21,KY
3,2015,8.14,237.0,6.08,KY
4,2014,8.15,236.7,6.1,KY
5,2013,7.69,233.0,5.85,KY
6,2012,7.26,229.6,5.6,KY
7,2011,7.17,224.9,5.65,KY
8,2010,6.73,218.1,5.46,KY
9,2009,6.52,214.5,5.38,KY
10,2008,6.26,215.3,5.15,KY
11,2007,5.84,207.3,4.99,KY
12,2006,5.43,201.6,4.77,KY
13,2005,5.01,195.3,4.54,KY
14,2004,4.63,188.9,4.34,KY
15,2003,4.42,184.0,4.25,KY
16,2002,4.26,179.9,4.19,KY
17,2001,4.24,177.1,4.24,KY
0,2018,7.65,250.5,5.41,LA
1,2017,7.79,245.1,5.63,LA
2,2016,7.46,240.0,5.5,LA
3,2015,7.65,237.0,5.72,LA
4,2014,8.09,236.7,6.05,LA
5,2013,8.04,233.0,6.11,LA
6,2012,6.9,229.6,5.32,LA
7,2011,7.68,224.9,6.05,LA
8,2010,7.8,218.1,6.33,LA
9,2009,7.06,214.5,5.83,LA
10,2008,9.44,215.3,7.77,LA
11,2007,8.39,207.3,7.17,LA
12,2006,8.3,201.6,7.29,LA
13,2005,8.03,195.3,7.28,LA
14,2004,7.13,188.9,6.68,LA
15,2003,6.93,184.0,6.67,LA
16,2002,5.99,179.9,5.9,LA
17,2001,6.96,177.1,6.96,LA
0,2018,13.07,250.5,9.24,ME
1,2017,13.02,245.1,9.41,ME
2,2016,12.8,240.0,9.45,ME
3,2015,12.78,237.0,9.55,ME
4,2014,12.65,236.7,9.46,ME
5,2013,11.86,233.0,9.01,ME
6,2012,11.81,229.6,9.11,ME
7,2011,12.58,224.9,9.91,ME
8,2010,12.84,218.1,10.43,ME
9,2009,13.12,214.5,10.83,ME
10,2008,13.8,215.3,11.35,ME
11,2007,14.59,207.3,12.46,ME
12,2006,11.8,201.6,10.37,ME
13,2005,10.57,195.3,9.58,ME
14,2004,9.69,188.9,9.08,ME
15,2003,9.79,184.0,9.42,ME
16,2002,10.35,179.9,10.19,ME
17,2001,10.55,177.1,10.55,ME
0,2018,11.58,250.5,8.19,MD
1,2017,11.98,245.1,8.66,MD
2,2016,12.21,240.0,9.01,MD
3,2015,12.07,237.0,9.02,MD
4,2014,12.1,236.7,9.05,MD
5,2013,11.66,233.0,8.86,MD
6,2012,11.28,229.6,8.7,MD
7,2011,11.93,224.9,9.39,MD
8,2010,12.71,218.1,10.32,MD
9,2009,13.09,214.5,10.81,MD
10,2008,13.01,215.3,10.7,MD
11,2007,11.5,207.3,9.82,MD
12,2006,9.95,201.6,8.74,MD
13,2005,8.13,195.3,7.37,MD
14,2004,7.15,188.9,6.7,MD
15,2003,6.45,184.0,6.21,MD
16,2002,6.18,179.9,6.08,MD
17,2001,6.6,177.1,6.6,MD
0,2018,18.3,250.5,12.94,MA
1,2017,17.12,245.1,12.37,MA
2,2016,16.48,240.0,12.16,MA
3,2015,16.9,237.0,12.63,MA
4,2014,15.35,236.7,11.48,MA
5,2013,14.51,233.0,11.03,MA
6,2012,13.79,229.6,10.64,MA
7,2011,14.11,224.9,11.11,MA
8,2010,14.26,218.1,11.58,MA
9,2009,15.45,214.5,12.76,MA
10,2008,16.23,215.3,13.35,MA
11,2007,15.16,207.3,12.95,MA
12,2006,15.45,201.6,13.57,MA
13,2005,12.18,195.3,11.04,MA
14,2004,10.77,188.9,10.1,MA
15,2003,10.56,184.0,10.16,MA
16,2002,10.06,179.9,9.9,MA
17,2001,11.55,177.1,11.55,MA
0,2018,11.53,250.5,8.15,MI
1,2017,11.28,245.1,8.15,MI
2,2016,11.05,240.0,8.15,MI
3,2015,10.76,237.0,8.04,MI
4,2014,11.03,236.7,8.25,MI
5,2013,11.21,233.0,8.52,MI
6,2012,10.98,229.6,8.47,MI
7,2011,10.4,224.9,8.19,MI
8,2010,9.88,218.1,8.02,MI
9,2009,9.4,214.5,7.76,MI
10,2008,8.93,215.3,7.35,MI
11,2007,8.53,207.3,7.29,MI
12,2006,8.14,201.6,7.15,MI
13,2005,7.23,195.3,6.56,MI
14,2004,6.94,188.9,6.51,MI
15,2003,6.85,184.0,6.59,MI
16,2002,7.09,179.9,6.98,MI
17,2001,6.97,177.1,6.97,MI
0,2018,10.59,250.5,7.49,MN
1,2017,10.27,245.1,7.42,MN
2,2016,9.99,240.0,7.37,MN
3,2015,9.53,237.0,7.12,MN
4,2014,9.52,236.7,7.12,MN
5,2013,9.41,233.0,7.15,MN
6,2012,8.86,229.6,6.83,MN
7,2011,8.65,224.9,6.81,MN
8,2010,8.41,218.1,6.83,MN
9,2009,8.14,214.5,6.72,MN
10,2008,7.79,215.3,6.41,MN
11,2007,7.44,207.3,6.36,MN
12,2006,6.98,201.6,6.13,MN
13,2005,6.61,195.3,5.99,MN
14,2004,6.24,188.9,5.85,MN
15,2003,6.01,184.0,5.78,MN
16,2002,5.8,179.9,5.71,MN
